Name,Sector,Employee count,Company Age(in years),Reviews Count,Highly Rated for,Critically Rated for,Overall Company Rating,Job Security Rating,Work-Life balance Rating,Company culture Rating,Skill development Rating,Work Satisfaction Rating,Salary & Benefits Rating,Promotions/Appraisal Rating
HCL Infosystems,IT Services & Consulting , 51-200 Employees , 48  ,1500.0,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,4.0,4.0,3.9,3.8,3.7,3.7,3.5,3.4
Crisil,Financial Services , 1k-5k Employees , 37  ,1500.0,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",3.7,3.8,3.6,3.8,3.5,3.4,3.1,3.0
Parle Products,Food Processing , 1k-5k Employees , 95  ,1500.0,Salary & Benefits,,4.0,3.5,3.6,3.5,3.7,3.5,3.9,3.5
Thomson Reuters,Software Product , 5k-10k Employees , 16  ,1400.0,"Work Life Balance, Company Culture, Job Security",,4.2,4.1,4.3,4.2,3.8,3.9,3.7,3.4
CitiusTech,IT Services & Consulting , 1k-5k Employees , 19  ,1400.0,,"Promotions / Appraisal, Job Security, Salary & Benefits",3.4,3.1,3.5,3.4,3.4,3.1,3.1,2.8
L&T Energy Hydrocarbon,Engineering & Construction , 5k-10k Employees , 15  ,1400.0,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",4.0,4.0,3.3,3.5,3.9,3.6,3.4,3.2
IDBI Bank,Banking , 10k-50k Employees , 60  ,1400.0,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",3.7,3.8,3.3,3.3,3.4,3.2,3.7,2.9
SBI General Insurance,Insurance , 5k-10k Employees , 15  ,1400.0,,Promotions / Appraisal,3.8,3.7,3.6,3.6,3.6,3.4,3.6,3.2
Hindustan Aeronautics,Defence & Aerospace , 10k-50k Employees , 84  ,1400.0,"Skill Development / Learning, Work Life Balance, Job Security",,4.4,4.1,4.2,4.1,4.2,4.1,3.8,3.6
Dr Lal PathLabs,Healthcare , 1k-5k Employees , 75  ,1400.0,"Skill Development / Learning, Job Security, Company Culture",,4.2,4.0,4.0,4.0,4.0,3.9,3.9,3.6
Vedantu,EdTech , 1k-5k Employees , 13  ,1400.0,,"Job Security, Promotions / Appraisal, Work Satisfaction",3.4,2.5,3.0,3.1,3.1,2.9,3.2,2.8
